Ámbito geográfico;Periodo;Total
España;2024;11,4
España;2023;12,2
España;2022;13
España;2021;14,9
España;2020;15,5
España;2019;14,1
España;2018;15,3
España;2017;17,2
España;2016;19,6
España;2015;22,1
España;2014;24,5
España;2013;26,1
España;2012;24,8
España;2011;21,4
España;2010;19,9
España;2009;17,9
España;2008;11,3
España;2007;8,2
España;2006;8,5
Unión Europea;2024;5,9
Unión Europea;2023;6,1
Unión Europea;2022;6,2
Unión Europea;2021;7,1
Unión Europea;2020;7,1
Unión Europea;2019;6,7
Unión Europea;2018;7,3
Unión Europea;2017;8,2
Unión Europea;2016;9,1
Unión Europea;2015;10,1
Unión Europea;2014;10,9
Unión Europea;2013;11,4
Unión Europea;2012;10,8
Unión Europea;2011;9,9
Unión Europea;2010;9,8
Unión Europea;2009;9,1
Unión Europea;2008;7,2
Unión Europea;2007;7,5
Unión Europea;2006;8,6
