Ámbito geográfico;Periodo;Total
España;2024;51,4
España;2023;51
España;2022;50,3
España;2021;49,1
España;2020;47,9
España;2019;49,7
España;2018;49,1
España;2017;48,1
España;2016;47
España;2015;45,9
España;2014;44,5
España;2013;43,9
España;2012;44,9
España;2011;46,9
España;2010;47,8
España;2009;48,9
España;2008;52,7
España;2007;53,8
España;2006;53
Unión Europea;2024;54,7
Unión Europea;2023;54,5
Unión Europea;2022;54,1
Unión Europea;2021;53
Unión Europea;2020;52,6
Unión Europea;2019;53,6
Unión Europea;2018;53,1
Unión Europea;2017;52,5
Unión Europea;2016;51,8
Unión Europea;2015;51,1
Unión Europea;2014;50,7
Unión Europea;2013;50,4
Unión Europea;2012;50,7
Unión Europea;2011;51
Unión Europea;2010;51,1
Unión Europea;2009;51,5
Unión Europea;2008;52,6
Unión Europea;2007;52,2
Unión Europea;2006;51,4
